"사용일자","노선명","역명","승차총승객수","하차총승객수","등록일자"
"20210201","분당선","신갈","4164","4158","20210204",""
"20210201","분당선","구성","4352","4590","20210204",""
"20210201","분당선","죽전","11450","12644","20210204",""
"20210201","분당선","보정","2121","1859","20210204",""
"20210201","분당선","이매","4854","4644","20210204",""
"20210201","분당선","오리","10915","9317","20210204",""
"20210201","분당선","미금","14510","15448","20210204",""
"20210201","분당선","정자","15430","16120","20210204",""
"20210201","분당선","수내","12028","11916","20210204",""
"20210201","분당선","서현","22851","22912","20210204",""
"20210201","분당선","야탑","23226","24403","20210204",""
"20210201","분당선","모란","18022","18141","20210204",""
"20210201","분당선","태평","12409","12212","20210204",""
"20210201","분당선","가천대","5796","6773","20210204",""
"20210201","분당선","선정릉","7659","8217","20210204",""
"20210201","분당선","강남구청","9123","10381","20210204",""
"20210201","분당선","압구정로데오","15980","16978","20210204",""
"20210201","분당선","서울숲","7930","8060","20210204",""
"20210201","분당선","수원","6870","5592","20210204",""
"20210201","분당선","수서","10975","11588","20210204",""
"20210201","분당선","대모산입구","3236","2965","20210204",""
"20210201","분당선","개포동","3221","3333","20210204",""
"20210201","분당선","구룡","1465","1478","20210204",""
"20210201","분당선","도곡","6153","6241","20210204",""
"20210201","분당선","한티","12657","13416","20210204",""
"20210201","분당선","선릉","13074","19017","20210204",""
"20210201","과천선","범계","22758","21898","20210204",""
"20210201","과천선","평촌","16981","16937","20210204",""
"20210201","과천선","인덕원","21544","22584","20210204",""
"20210201","과천선","정부과천청사","8723","8717","20210204",""
"20210201","과천선","과천","4910","4622","20210204",""
"20210201","과천선","대공원","1493","1581","20210204",""
"20210201","과천선","경마공원","836","820","20210204",""
"20210201","과천선","선바위","7794","6688","20210204",""
"20210201","공항철도 1호선","영종","2511","2571","20210204",""
"20210201","공항철도 1호선","인천공항2터미널","1813","1704","20210204",""
"20210201","공항철도 1호선","인천공항1터미널","2881","2992","20210204",""
"20210201","공항철도 1호선","공항화물청사","2144","2313","20210204",""
"20210201","공항철도 1호선","운서","5267","5284","20210204",""
"20210201","공항철도 1호선","청라국제도시","5870","5534","20210204",""
"20210201","공항철도 1호선","검암","6400","6109","20210204",""
"20210201","공항철도 1호선","계양","8207","7713","20210204",""
"20210201","공항철도 1호선","김포공항","8878","5416","20210204",""
"20210201","공항철도 1호선","마곡나루(서울식물원)","7152","6897","20210204",""
"20210201","공항철도 1호선","디지털미디어시티","12926","11659","20210204",""
"20210201","공항철도 1호선","홍대입구","7135","7020","20210204",""
"20210201","공항철도 1호선","공덕","1941","2507","20210204",""
"20210201","공항철도 1호선","서울역","5339","5034","20210204",""
"20210201","경춘선","춘천","865","822","20210204",""
"20210201","경춘선","남춘천","1742","1741","20210204",""
"20210201","경춘선","김유정","172","190","20210204",""
"20210201","경춘선","강촌","235","202","20210204",""
"20210201","경춘선","백양리","131","121","20210204",""
"20210201","경춘선","굴봉산","65","82","20210204",""
"20210201","경춘선","가평","1195","1143","20210204",""
"20210201","경춘선","상천","164","151","20210204",""
"20210201","경춘선","청평","1072","1060","20210204",""
"20210201","경춘선","대성리","361","300","20210204",""
"20210201","경춘선","마석","3402","3222","20210204",""
"20210201","경춘선","천마산","1493","1382","20210204",""
"20210201","경춘선","평내호평","5538","5345","20210204",""
"20210201","경춘선","금곡","1389","1312","20210204",""
"20210201","경춘선","사릉","3051","2925","20210204",""
"20210201","경춘선","퇴계원","3353","3112","20210204",""
"20210201","경춘선","별내","2455","2315","20210204",""
"20210201","경춘선","갈매","2806","2498","20210204",""
"20210201","경춘선","신내","1389","1393","20210204",""
"20210201","경인선","도화","3772","3528","20210204",""
"20210201","경인선","중동","8457","8028","20210204",""
"20210201","경인선","온수(성공회대입구)","5859","5849","20210204",""
"20210201","경인선","도원","2484","2571","20210204",""
"20210201","경인선","간석","5255","5081","20210204",""
"20210201","경인선","부개","7837","7490","20210204",""
"20210201","경인선","소사","8468","8320","20210204",""
"20210201","경인선","구일","5629","5884","20210204",""
"20210201","경인선","인천","2616","1949","20210204",""
"20210201","경인선","동인천","12338","11458","20210204",""
"20210201","경인선","제물포","8978","8605","20210204",""
"20210201","경인선","주안","16538","14979","20210204",""
"20210201","경인선","동암","13995","13946","20210204",""
"20210201","경인선","백운","6414","6424","20210204",""
"20210201","경인선","부평","26615","27654","20210204",""
"20210201","경인선","송내","25332","25059","20210204",""
"20210201","경인선","부천","29719","29452","20210204",""
"20210201","경인선","역곡","24472","24564","20210204",""
"20210201","경인선","오류동","10701","10267","20210204",""
"20210201","경인선","개봉","19757","20495","20210204",""
"20210201","경의선","임진강","10","5","20210204",""
"20210201","경의선","문산","4215","4244","20210204",""
"20210201","경의선","파주","869","643","20210204",""
"20210201","경의선","월롱","1817","1679","20210204",""
"20210201","경의선","금촌","5662","5663","20210204",""
"20210201","경의선","금릉","4016","3820","20210204",""
"20210201","경의선","운정","5525","5198","20210204",""
"20210201","경의선","야당","5483","5324","20210204",""
"20210201","경의선","탄현","6745","6581","20210204",""
"20210201","경의선","일산","8181","8227","20210204",""
"20210201","경의선","풍산","4839","4467","20210204",""
"20210201","경의선","백마","6154","5932","20210204",""
"20210201","경의선","곡산","468","485","20210204",""
"20210201","경의선","능곡","3292","3036","20210204",""
"20210201","경의선","행신","6860","7017","20210204",""
"20210201","경의선","강매","2918","2571","20210204",""
"20210201","경의선","화전","1301","1195","20210204",""
"20210201","경의선","수색","2391","2406","20210204",""
"20210201","경의선","디지털미디어시티","2158","2133","20210204",""
"20210201","경의선","가좌","4959","4661","20210204",""
"20210201","경의선","홍대입구","1253","1409","20210204",""
"20210201","경의선","서강대","1779","1757","20210204",""
"20210201","경의선","공덕","3192","2910","20210204",""
"20210201","경의선","효창공원앞","2677","3032","20210204",""
"20210201","경의선","신촌","760","895","20210204",""
"20210201","경의선","서울역","3704","4392","20210204",""
"20210201","경원선","소요산","2088","1738","20210204",""
"20210201","경원선","동두천","1639","1882","20210204",""
"20210201","경원선","보산","1280","1082","20210204",""
"20210201","경원선","동두천중앙","2738","2563","20210204",""
"20210201","경원선","지행","5549","5473","20210204",""
"20210201","경원선","덕정","4677","4655","20210204",""
"20210201","경원선","덕계","2506","2221","20210204",""
"20210201","경원선","양주","6676","6184","20210204",""
"20210201","경원선","녹양","4133","3870","20210204",""
"20210201","경원선","가능","5747","5651","20210204",""
"20210201","경원선","의정부","15971","16201","20210204",""
"20210201","경원선","회룡","11373","11277","20210204",""
"20210201","경원선","망월사","6246","6565","20210204",""
"20210201","경원선","도봉산","6596","4039","20210204",""
"20210201","경원선","방학","8660","8514","20210204",""
"20210201","경원선","녹천","4400","3786","20210204",""
"20210201","경원선","월계","5672","5391","20210204",""
"20210201","경원선","광운대","7087","6847","20210204",""
"20210201","경원선","석계","7258","8300","20210204",""
"20210201","경원선","신이문","8020","7412","20210204",""
"20210201","경원선","외대앞","6330","6406","20210204",""
"20210201","경원선","청량리(서울시립대입구)","12239","13103","20210204",""
"20210201","경원선","왕십리(성동구청)","11315","12654","20210204",""
"20210201","경원선","응봉","1649","1410","20210204",""
"20210201","경원선","옥수","50","23","20210204",""
"20210201","경원선","한남","3894","3671","20210204",""
"20210201","경원선","서빙고","1715","1538","20210204",""
"20210201","경원선","이촌(국립중앙박물관)","3475","2757","20210204",""
"20210201","경부선","광명","2748","2432","20210204",""
"20210201","경부선","서동탄","1364","1104","20210204",""
"20210201","경부선","당정","5486","5276","20210204",""
"20210201","경부선","천안","3846","3953","20210204",""
"20210201","경부선","두정","3977","4128","20210204",""
"20210201","경부선","직산","639","621","20210204",""
"20210201","경부선","성환","2629","2744","20210204",""
"20210201","경부선","평택","9641","9256","20210204",""
"20210201","경부선","지제","2296","2290","20210204",""
"20210201","경부선","서정리","4865","4850","20210204",""
"20210201","경부선","송탄","3545","3327","20210204",""
"20210201","경부선","진위","1395","1216","20210204",""
"20210201","경부선","오산","7941","8176","20210204",""
"20210201","경부선","오산대","2600","2381","20210204",""
"20210201","경부선","세마","2261","2052","20210204",""
"20210201","경부선","병점","11423","11276","20210204",""
"20210201","경부선","세류","2557","2429","20210204",""
"20210201","경부선","독산","16216","17253","20210204",""
"20210201","경부선","수원","27565","29003","20210204",""
"20210201","경부선","화서","6590","6356","20210204",""
"20210201","경부선","성균관대","12385","12355","20210204",""
"20210201","경부선","의왕","8084","8079","20210204",""
"20210201","경부선","군포","7159","7460","20210204",""
"20210201","경부선","금정","23545","24409","20210204",""
"20210201","경부선","명학","8553","8506","20210204",""
"20210201","경부선","안양","18957","18934","20210204",""
"20210201","경부선","관악","6551","6065","20210204",""
"20210201","경부선","석수","9148","8141","20210204",""
"20210201","경부선","금천구청","10865","10691","20210204",""
"20210201","경부선","가산디지털단지","17455","20075","20210204",""
"20210201","경부선","구로","17175","17372","20210204",""
"20210201","경부선","신길","8666","7197","20210204",""
"20210201","경부선","신도림","3671","3706","20210204",""
"20210201","경부선","영등포","31766","32699","20210204",""
"20210201","경부선","대방","12092","12449","20210204",""
"20210201","경부선","노량진","7278","7620","20210204",""
"20210201","경부선","용산","25588","26303","20210204",""
"20210201","경부선","남영","8662","9090","20210204",""
"20210201","경부선","서울역","4080","1261","20210204",""
"20210201","경강선","여주","1402","1389","20210204",""
"20210201","경강선","세종대왕릉","248","211","20210204",""
"20210201","경강선","부발","1313","1375","20210204",""
"20210201","경강선","이천","2053","2170","20210204",""
"20210201","경강선","신둔도예촌","1011","994","20210204",""
"20210201","경강선","곤지암","1719","1693","20210204",""
"20210201","경강선","초월","2673","2616","20210204",""
"20210201","경강선","경기광주","6195","6033","20210204",""
"20210201","경강선","삼동","2106","2033","20210204",""
"20210201","경강선","이매","929","754","20210204",""
"20210201","경강선","판교","4035","3858","20210204",""
"20210201","9호선2~3단계","중앙보훈병원","9009","8002","20210204",""
"20210201","9호선2~3단계","둔촌오륜","947","870","20210204",""
"20210201","9호선2~3단계","올림픽공원(한국체대)","4840","4725","20210204",""
"20210201","9호선2~3단계","한성백제","2189","2050","20210204",""
"20210201","9호선2~3단계","송파나루","4227","4370","20210204",""
"20210201","9호선2~3단계","석촌","6954","6235","20210204",""
"20210201","9호선2~3단계","석촌고분","5296","5417","20210204",""
"20210201","9호선2~3단계","삼전","6112","6048","20210204",""
"20210201","9호선2~3단계","종합운동장","3763","3758","20210204",""
"20210201","9호선2~3단계","봉은사","14219","14127","20210204",""
"20210201","9호선2~3단계","삼성중앙","6625","6843","20210204",""
"20210201","9호선2~3단계","선정릉","8858","9489","20210204",""
"20210201","9호선2~3단계","언주","9688","9682","20210204",""
"20210201","9호선","신논현","28646","28000","20210204",""
"20210201","9호선","사평","2889","2917","20210204",""
"20210201","9호선","고속터미널","9815","12119","20210204",""
"20210201","9호선","신반포","2913","2860","20210204",""
"20210201","9호선","구반포","2601","2643","20210204",""
"20210201","9호선","동작(현충원)","1579","1200","20210204",""
"20210201","9호선","흑석(중앙대입구)","6900","7345","20210204",""
"20210201","9호선","노들","3967","3526","20210204",""
"20210201","9호선","노량진","21958","21841","20210204",""
"20210201","9호선","샛강","5514","5768","20210204",""
"20210201","9호선","여의도","23097","22355","20210204",""
"20210201","9호선","국회의사당","15022","14838","20210204",""
"20210201","9호선","당산","16120","16395","20210204",""
"20210201","9호선","선유도","7325","7045","20210204",""
"20210201","9호선","신목동","3662","3323","20210204",""
"20210201","9호선","염창","15534","15592","20210204",""
"20210201","9호선","등촌","10169","10234","20210204",""
"20210201","9호선","증미","7014","7102","20210204",""
"20210201","9호선","가양","18618","18466","20210204",""
"20210201","9호선","양천향교","8589","8918","20210204",""
"20210201","9호선","마곡나루(서울식물원)","9910","9906","20210204",""
"20210201","9호선","신방화","6150","5985","20210204",""
"20210201","9호선","공항시장","2531","2823","20210204",""
"20210201","9호선","김포공항","6037","8538","20210204",""
"20210201","9호선","개화","2334","1636","20210204",""
"20210201","8호선","모란","3897","2896","20210204",""
"20210201","8호선","수진","4806","4404","20210204",""
"20210201","8호선","신흥","4277","4497","20210204",""
"20210201","8호선","단대오거리","9693","9442","20210204",""
"20210201","8호선","남한산성입구(성남법원.검찰청)","12410","11585","20210204",""
"20210201","8호선","복정","9420","8302","20210204",""
"20210201","8호선","장지","15734","15389","20210204",""
"20210201","8호선","문정","22005","23005","20210204",""
"20210201","8호선","가락시장","7694","8389","20210204",""
"20210201","8호선","송파","7291","7365","20210204",""
"20210201","8호선","석촌","6983","7854","20210204",""
"20210201","8호선","잠실(송파구청)","12339","13520","20210204",""
"20210201","8호선","몽촌토성(평화의문)","5039","5181","20210204",""
"20210201","8호선","강동구청","10190","10700","20210204",""
"20210201","8호선","천호(풍납토성)","14011","15788","20210204",""
"20210201","8호선","암사","17783","15977","20210204",""
"20210201","7호선","부평구청","10981","9168","20210204",""
"20210201","7호선","굴포천","7968","8562","20210204",""
"20210201","7호선","삼산체육관","4379","3967","20210204",""
"20210201","7호선","상동","11387","11618","20210204",""
"20210201","7호선","부천시청","11236","11079","20210204",""
"20210201","7호선","신중동","13236","13161","20210204",""
"20210201","7호선","춘의","9367","9211","20210204",""
"20210201","7호선","부천종합운동장","4112","3602","20210204",""
"20210201","7호선","까치울","6777","6602","20210204",""
"20210201","7호선","온수(성공회대입구)","9983","9087","20210204",""
"20210201","7호선","천왕","10375","9883","20210204",""
"20210201","7호선","광명사거리","20934","20755","20210204",""
"20210201","7호선","철산","19672","20111","20210204",""
"20210201","7호선","가산디지털단지","46772","46724","20210204",""
"20210201","7호선","남구로","15928","16598","20210204",""
"20210201","7호선","대림(구로구청)","7128","6983","20210204",""
"20210201","7호선","신풍","10883","10415","20210204",""
"20210201","7호선","보라매","8854","9088","20210204",""
"20210201","7호선","신대방삼거리","15152","14843","20210204",""
"20210201","7호선","장승배기","8831","8820","20210204",""
"20210201","7호선","상도","9233","9218","20210204",""
"20210201","7호선","숭실대입구(살피재)","10448","10792","20210204",""
"20210201","7호선","남성","10140","9593","20210204",""
"20210201","7호선","이수","14239","13955","20210204",""
"20210201","7호선","내방","13761","14052","20210204",""
"20210201","7호선","고속터미널","14204","11820","20210204",""
"20210201","7호선","반포","5214","5040","20210204",""
"20210201","7호선","논현","19673","20996","20210204",""
"20210201","7호선","학동","23516","24869","20210204",""
"20210201","7호선","강남구청","15290","16621","20210204",""
"20210201","7호선","청담","19048","20752","20210204",""
"20210201","7호선","뚝섬유원지","6800","6731","20210204",""
"20210201","7호선","건대입구","10781","10888","20210204",""
"20210201","7호선","어린이대공원(세종대)","10397","10219","20210204",""
"20210201","7호선","군자(능동)","13590","10968","20210204",""
"20210201","7호선","중곡","9544","9019","20210204",""
"20210201","7호선","용마산(용마폭포공원)","5708","5428","20210204",""
"20210201","7호선","사가정","15282","15526","20210204",""
"20210201","7호선","면목","14193","14110","20210204",""
"20210201","7호선","상봉(시외버스터미널)","15960","14901","20210204",""
"20210201","7호선","중화","10353","10387","20210204",""
"20210201","7호선","먹골","9293","9203","20210204",""
"20210201","7호선","태릉입구","7445","6882","20210204",""
"20210201","7호선","공릉(서울과학기술대)","10417","10541","20210204",""
"20210201","7호선","하계","15858","15028","20210204",""
"20210201","7호선","중계","13005","11918","20210204",""
"20210201","7호선","노원","18262","19119","20210204",""
"20210201","7호선","마들","11636","11160","20210204",""
"20210201","7호선","수락산","11593","11716","20210204",""
"20210201","7호선","도봉산","8249","9430","20210204",""
"20210201","7호선","장암","2103","732","20210204",""
"20210201","6호선","신내","1","0","20210204",""
"20210201","6호선","봉화산(서울의료원)","8400","7877","20210204",""
"20210201","6호선","화랑대(서울여대입구)","10446","8150","20210204",""
"20210201","6호선","태릉입구","4895","5279","20210204",""
"20210201","6호선","석계","11204","11725","20210204",""
"20210201","6호선","돌곶이","8071","7687","20210204",""
"20210201","6호선","상월곡(한국과학기술연구원)","5632","5034","20210204",""
"20210201","6호선","월곡(동덕여대)","10592","10681","20210204",""
"20210201","6호선","고려대(종암)","6851","6674","20210204",""
"20210201","6호선","안암(고대병원앞)","8501","8594","20210204",""
"20210201","6호선","보문","6537","6129","20210204",""
"20210201","6호선","창신","3131","2580","20210204",""
"20210201","6호선","동묘앞","7106","7341","20210204",""
"20210201","6호선","신당","6830","7293","20210204",""
"20210201","6호선","청구","3540","3826","20210204",""
"20210201","6호선","약수","3251","3298","20210204",""
"20210201","6호선","버티고개","2065","2020","20210204",""
"20210201","6호선","한강진","5900","6709","20210204",""
"20210201","6호선","이태원","7505","7382","20210204",""
"20210201","6호선","녹사평(용산구청)","3858","3690","20210204",""
"20210201","6호선","삼각지","4785","4344","20210204",""
"20210201","6호선","효창공원앞","6391","5785","20210204",""
"20210201","6호선","공덕","17388","16846","20210204",""
"20210201","6호선","대흥(서강대앞)","7202","7545","20210204",""
"20210201","6호선","광흥창(서강)","8103","7903","20210204",""
"20210201","6호선","상수","6339","6801","20210204",""
"20210201","6호선","합정","10954","10648","20210204",""
"20210201","6호선","망원","12512","13598","20210204",""
"20210201","6호선","마포구청","12805","11794","20210204",""
"20210201","6호선","월드컵경기장(성산)","4059","4184","20210204",""
"20210201","6호선","디지털미디어시티","12879","14285","20210204",""
"20210201","6호선","증산(명지대앞)","9399","9313","20210204",""
"20210201","6호선","새절(신사)","11917","11177","20210204",""
"20210201","6호선","구산","6658","5207","20210204",""
"20210201","6호선","연신내","1","0","20210204",""
"20210201","6호선","독바위","2492","2658","20210204",""
"20210201","6호선","불광","3637","3905","20210204",""
"20210201","6호선","역촌","3500","4156","20210204",""
"20210201","6호선","응암","16275","16431","20210204",""
"20210201","5호선","하남풍산","4629","4624","20210204",""
"20210201","5호선","미사","12743","12609","20210204",""
"20210201","5호선","마천","5409","5566","20210204",""
"20210201","5호선","거여","7499","7119","20210204",""
"20210201","5호선","개롱","6040","6218","20210204",""
"20210201","5호선","오금","3516","3383","20210204",""
"20210201","5호선","방이","6421","6644","20210204",""
"20210201","5호선","올림픽공원(한국체대)","3749","3214","20210204",""
"20210201","5호선","둔촌동","7897","7824","20210204",""
"20210201","5호선","상일동","15855","14551","20210204",""
"20210201","5호선","고덕","8079","8196","20210204",""
"20210201","5호선","명일","7823","7954","20210204",""
"20210201","5호선","굽은다리(강동구민회관앞)","8716","8305","20210204",""
"20210201","5호선","길동","7460","7732","20210204",""
"20210201","5호선","강동","18062","17155","20210204",""
"20210201","5호선","천호(풍납토성)","16226","16118","20210204",""
"20210201","5호선","광나루(장신대)","11523","10472","20210204",""
"20210201","5호선","아차산(어린이대공원후문)","12805","12902","20210204",""
"20210201","5호선","군자(능동)","9968","10894","20210204",""
"20210201","5호선","장한평","17386","17196","20210204",""
"20210201","5호선","답십리","14780","13707","20210204",""
"20210201","5호선","마장","5325","5197","20210204",""
"20210201","5호선","왕십리(성동구청)","4059","4376","20210204",""
"20210201","5호선","행당","7303","6773","20210204",""
"20210201","5호선","신금호","5731","6032","20210204",""
"20210201","5호선","청구","3785","3472","20210204",""
"20210201","5호선","동대문역사문화공원(DDP)","2946","3236","20210204",""
"20210201","5호선","을지로4가","5816","5964","20210204",""
"20210201","5호선","종로3가","9782","9628","20210204",""
"20210201","5호선","광화문(세종문화회관)","28189","28888","20210204",""
"20210201","5호선","서대문","17929","18478","20210204",""
"20210201","5호선","충정로(경기대입구)","4421","4551","20210204",""
"20210201","5호선","애오개","6278","6389","20210204",""
"20210201","5호선","공덕","13734","14619","20210204",""
"20210201","5호선","마포","13627","14021","20210204",""
"20210201","5호선","여의나루","7494","7663","20210204",""
"20210201","5호선","여의도","26172","26712","20210204",""
"20210201","5호선","신길","3690","4301","20210204",""
"20210201","5호선","영등포시장","8971","9270","20210204",""
"20210201","5호선","영등포구청","4024","3961","20210204",""
"20210201","5호선","양평","7410","7433","20210204",""
"20210201","5호선","오목교(목동운동장앞)","20565","22201","20210204",""
"20210201","5호선","목동","15666","17570","20210204",""
"20210201","5호선","신정(은행정)","12928","10412","20210204",""
"20210201","5호선","까치산","26785","25953","20210204",""
"20210201","5호선","화곡","26030","24825","20210204",""
"20210201","5호선","우장산","12817","12932","20210204",""
"20210201","5호선","발산","17159","17294","20210204",""
"20210201","5호선","마곡","9064","8784","20210204",""
"20210201","5호선","송정","6046","5710","20210204",""
"20210201","5호선","김포공항","5876","5631","20210204",""
"20210201","5호선","개화산","4792","4622","20210204",""
"20210201","5호선","방화","6231","6015","20210204",""
"20210201","4호선","쌍문","27396","25485","20210204",""
"20210201","4호선","창동","24330","25861","20210204",""
"20210201","4호선","노원","17130","18851","20210204",""
"20210201","4호선","상계","17766","16486","20210204",""
"20210201","4호선","당고개","11430","10435","20210204",""
"20210201","4호선","남태령","1024","876","20210204",""
"20210201","4호선","사당","20799","17572","20210204",""
"20210201","4호선","총신대입구(이수)","17430","19009","20210204",""
"20210201","4호선","동작(현충원)","2147","2262","20210204",""
"20210201","4호선","이촌(국립중앙박물관)","6159","6921","20210204",""
"20210201","4호선","신용산","14098","14747","20210204",""
"20210201","4호선","삼각지","4108","4470","20210204",""
"20210201","4호선","숙대입구(갈월)","11279","11098","20210204",""
"20210201","4호선","서울역","9930","13113","20210204",""
"20210201","4호선","회현(남대문시장)","21074","22029","20210204",""
"20210201","4호선","명동","14870","15064","20210204",""
"20210201","4호선","충무로","24144","25004","20210204",""
"20210201","4호선","동대문역사문화공원(DDP)","13085","12147","20210204",""
"20210201","4호선","동대문","18205","18894","20210204",""
"20210201","4호선","혜화","25664","25439","20210204",""
"20210201","4호선","한성대입구(삼선교)","11648","11527","20210204",""
"20210201","4호선","성신여대입구(돈암)","17229","16482","20210204",""
"20210201","4호선","길음","18589","18024","20210204",""
"20210201","4호선","미아사거리","25149","24681","20210204",""
"20210201","4호선","미아(서울사이버대학)","13988","13705","20210204",""
"20210201","4호선","수유(강북구청)","31524","31650","20210204",""
"20210201","3호선","오금","5773","5182","20210204",""
"20210201","3호선","경찰병원","7399","7504","20210204",""
"20210201","3호선","가락시장","8725","8639","20210204",""
"20210201","3호선","수서","14131","14547","20210204",""
"20210201","3호선","일원","9119","9174","20210204",""
"20210201","3호선","대청","8676","7863","20210204",""
"20210201","3호선","학여울","1604","1655","20210204",""
"20210201","3호선","대치","10228","10203","20210204",""
"20210201","3호선","도곡","5057","5080","20210204",""
"20210201","3호선","매봉","11627","11082","20210204",""
"20210201","3호선","양재(서초구청)","36012","38576","20210204",""
"20210201","3호선","남부터미널(예술의전당)","26324","26921","20210204",""
"20210201","3호선","교대(법원.검찰청)","12849","8611","20210204",""
"20210201","3호선","고속터미널","32992","30906","20210204",""
"20210201","3호선","잠원","4319","4319","20210204",""
"20210201","3호선","신사","29190","30045","20210204",""
"20210201","3호선","압구정","30056","31814","20210204",""
"20210201","3호선","옥수","8115","8590","20210204",""
"20210201","3호선","금호","7645","7288","20210204",""
"20210201","3호선","약수","11899","11531","20210204",""
"20210201","3호선","동대입구","6041","6287","20210204",""
"20210201","3호선","충무로","2","0","20210204",""
"20210201","3호선","을지로3가","9626","9876","20210204",""
"20210201","3호선","종로3가","8693","9947","20210204",""
"20210201","3호선","안국","16299","16553","20210204",""
"20210201","3호선","경복궁(정부서울청사)","15828","15562","20210204",""
"20210201","3호선","독립문","6221","6412","20210204",""
"20210201","3호선","무악재","3638","3812","20210204",""
"20210201","3호선","홍제","15959","15365","20210204",""
"20210201","3호선","녹번","13681","12840","20210204",""
"20210201","3호선","불광","14927","15829","20210204",""
"20210201","3호선","연신내","33866","32359","20210204",""
"20210201","3호선","구파발","18892","17517","20210204",""
"20210201","3호선","지축","3377","3365","20210204",""
